,Restaurant_Name,Ratings,Cusines,Location,Delivery_review_no,Restaurant_link,Price_for_one
315,Kamat Aahaar- Malleshwaram,4.1,Snacks,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
316,The Hole in the Wall Cafe,4.3,American,Indiranagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
317,The SnackStop(Eswaris Homemade snacks),4.4,Indian,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
318,Copper + Cloves,4.7,Continental,Domlur,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,800
319,Venezia,4.2,Mexican,Jayanagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
320,Old Madras Baking Company,4.5,Desserts,St. Marks Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
321,Shree Ganesh Fruit Juice Centre,4.5,Beverages,Malleswaram,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
322,Shrinidhi Military Hotel,3.9,South Indian,Basavanagudi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,299
323,The Firewood Pizza,3.7,Pizzas,Tavarekere,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
324,Sri Ranganatha Military Hotel,4.3,Biryani,Basavanagudi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,240
325,Beyond The Crust - BTC,4.0,Desserts,BTM Layout,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
326,Oven Story Pizza,4.1,Pastas,Shanti Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
327,Lakeview Milkbar,4.2,Ice Cream,Magrath Road,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
328,Suryawanshi,4.0,Seafood,Domlur,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
329,Street Foods By Punjab Grill,3.8,Kebabs,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
330,IGP Cakes,3.9,Bakery,Koramangala,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,299
331,Swathi Grand,4.0,Chinese,Vasanth Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
332,Kaapi Katte,4.3,Combo,Malleswaram,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
333,Sri Maruthi Hotel,4.3,North Indian,Rajajinagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
334,Gokul Veg,4.3,Jain,Basavanagudi,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
335,Punjabi Unplugged,3.9,Chinese,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
336,Boba cafe - A true bubble tea,4.1,Beverages,Central Bangalore,10,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
337,Living Bowls,4.2,Keto,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
338,Ambur Dum Biriyani,3.9,Mughlai,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
339,BOSS Burger,4.0,American,Lavelle Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
340,Main Lassi Shop,3.8,Juices,Central Bangalore,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
341,ITC Aashirvaad Soul Creations,4.5,Indian,Dispensary Rd,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
342,Go Naati,4.0,South Indian,Rajajinagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
343,Beijing Bites,4.2,Thai,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
344,Tadka Singh,4.3,North Indian,Church Street,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
345,Meat and Eat,4.0,Biryani,Indiranagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
346,Sri Udupi Vaibhav,4.3,North Indian,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,199
347,Sln tiffin room muddanna hotel,4.1,South Indian,Basavanagudi,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
348,Tea Villa Cafe,4.0,Continental,Jayanagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
349,Hot Momo Darjeeling Style,4.2,Chinese,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
350,Five Star Chicken,3.8,Snacks,Central Bangalore,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
351,Biryani Trip - Destination Hyderabad,3.8,Snacks,Sheshadripuram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,180
352,Shiv Sagar ( RS ),4.1,Beverages,Ashok Nagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
353,Trattoria By Toscano,4.1,Pizzas,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
354,Juice Junction & Snacks,4.3,Chinese,Jayanagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
355,Adiga's,3.9,North Indian,Majestic,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
356,New Krishna Sagar,4.4,Chinese,Frazer Town,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
357,Biggies Burger,4.1,Fast Food,Church Street,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
358,Carols Pastries & Bakers,4.5,Desserts,Vasanth Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
359,Karachi Bakery,4.4,Pizzas,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
360,Kadamba Foodline,4.3,South Indian,Halasuru,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
361,Aaliyar Ambur Dum Biryani,3.6,Indian,Brigade Road,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
362,Gama Gama Hotel,4.2,South Indian,Basavanagudi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
363,Subbudus The SnackStop ( Eswaris Homemade snacks ),4.3,Snacks,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
364,Spicy Corner,3.1,Chinese,Halasuru,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
365,Mad Over Donuts,3.9,Sweets,Magrath Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
366,Happy Belly Bakes- Cakes and Desserts,4.6,Bakery,Magrath Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
367,Brik Oven,4.2,Pizzas,Church Street,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,700
368,Milano Ice Cream,4.5,Desserts,Indiranagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
369,All Saints Bakery,4.4,Snacks,Ashok Nagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
370,Roti Tawa Ki,4.5,Fast Food,Koramangala,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
371,Hotel Bilal Biriyani Centre,3.7,Biryani,Basavanagudi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,180
372,Udupi Srikrishna Rajathadri,4.4,South Indian,Malleswaram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,190
373,Dolci Desserts,4.4,Bakery,Cunningham Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
374,RajHans Restaurant,3.9,Chinese,Shanti Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,199
375,HRX by EatFit,4.6,Salads,Cunningham Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
376,Yediyur Ramanna Military Hotel,4.0,Indian,Jayanagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
377,Namma kudla Veg  Malleswaram,4.3,Konkan,Malleswaram,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
378,Donne Biryani Palace,4.1,Kebabs,Jayanagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
379,FB Cakes,4.3,Desserts,Indiranagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1500
380,Apna dhaba,3.9,Punjabi,Basavanagudi,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
381,Mr. Tea,3.9,Indian,BTM Layout,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
382,Baskin Robbins - Ice Cream Desserts,4.4,Ice Cream,Magrath Road,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
383,ATH - All Things Healthy!,4.3,Indian,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
384,Navya Samrat,4.1,South Indian,Ashok Nagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
385,Madno - House of Sundaes,3.9,Ice Cream,Brigade Road,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
386,Poha point,4.4,Snacks,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,120
387,Shree Krishna Fresh Juice Junction,4.5,Juices,Koramangala,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
388,Sri Vishnu Upahar,4.6,Chinese,Frazer Town,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
389,Gourmet Ice Cream Cakes by Baskin Robbins,4.5,Desserts,Magrath Road,2,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
390,Casa Fresco,4.3,Italian,Domlur,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
391,Maskaa,4.6,Snacks,Koramangala,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
392,Just Bake,3.6,Bakery,Rajajinagar,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
393,Rooftop Cafe,3.7,American,Jayanagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,120
394,Honore,4.8,Bakery,Indiranagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
395,Mangaluru Seafood,4.0,Seafood,Jayanagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
396,The Betel Leaf Co.,4.5,Desserts,Sheshadripuram,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
397,Pai Vihar Grand,4.2,North Indian,City Market,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
398,Sikandar Rolls,4.5,Kebabs,Magrath Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
399,Bismillah Hotel,4.0,Indian,Frazer Town,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
400,Home Plate by EatFit,3.8,Home Food,Cunningham Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
401,Kudla Beach,3.8,Chinese,Rajajinagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
402,Gopizza,4.1,Desserts,Magrath Road,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
403,Brahmins Bakery Grand,4.6,Snacks,Malleswaram,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
404,"Art of Delight - Ice Creams, Sundaes and Desserts",4.5,Desserts,Ashok Nagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
405,N R Donne Biriyani,4.1,South Indian,Jayanagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
406,Sultan dum biryani,3.9,Desserts,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
407,The Food Corner,4.2,North Indian,Vasanth Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
408,Hatti Donne Biryani,3.8,South Indian,Shanti Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,199
409,Om Sai Ram Food Junction,3.8,Bengali,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
410,Sri Venkateshwara Sweet Meat Stall,4.6,Sweets,Basavanagudi,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
411,Little Italy,4.2,Pizzas,Jayanagar,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1200
412,Bhole Ke Chole,3.6,Fast Food,Koramangala,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
413,Crusto's - Cheese Burst Pizza,4.1,Italian,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
414,Fresh Pressery Cafe,4.4,Salads,Lavelle Road,5000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
415,Kabab Magic Roll,3.1,Snacks,Richmond Road,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
416,"Just Bake - Bakery, Desserts, Cakes & Confectioners",4.2,Desserts,Banashankari,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
417,Palmgrove Ballal Residency,4.5,Coastal,Residency Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
418,Virinchi Cafe,4.1,South Indian,Ashok Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
419,Lalbagh Grand - Unit of udupi foods,3.9,Jain,Basavanagudi,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
420,Food Paradise,4.0,North Indian,Sheshadripuram,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
421,"Bhartiya Jalpan - Sweets, Dry Fruit and Savouries",4.4,Sweets,Shivaji Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
422,Kholi Mane,4.1,South Indian,Basavanagudi,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
423,Burger Seigneur,4.4,Continental,St. Marks Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1200
424,The Fast Food,4.3,Indian,Malleswaram,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
425,Beegara Mane Badoota,2.9,Biryani,Rajajinagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
426,Avanthi - Aromas of Andhra,3.7,Biryani,Indiranagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,700
427,New Krishna Bhavan (Gopika A/C),4.3,North Indian,Malleswaram,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
428,The Brekkie Shop - All Day Menu,4.4,Italian,Indiranagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
429,NOTO - Healthy Ice Cream,4.6,Ice Cream,Central Bangalore,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
430,Shawarma On Wheels,4.6,Snacks,Central Bangalore,5,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
431,Mainland China,4.3,Asian,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,650
432,Hotel Tom's Restaurant,4.5,Biryani,Ashok Nagar,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
433,Goila Butter Chicken,4.0,Mughlai,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
434,Pizza Stop,4.0,Pizzas,Lavelle Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
435,Nando's,4.1,Burgers,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,350
436,Maruthi Restaurant,3.9,Indian,Rajajinagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
437,Third Wave Coffee,4.2,Bakery,Ashok Nagar,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
438,Patel's Inn,4.2,Chinese,R.T. Nagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,750
439,McDonald's Gourmet Burger Collection,4.1,Beverages,Magrath Road,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
440,Lakshmi food point,3.4,Indian,Rajajinagar,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
441,Dosa & Currys,3.6,Indian,Koramangala,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,990
442,Love And Crumble,4.7,Desserts,Malleswaram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
443,Aligarh House -Mughla Biryani,4.1,Mughlai,Cunningham Road,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
444,Oven Theory Pizza - OTP,4.0,Italian,BTM Layout,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
445,Cafe Noir,4.2,Continental,Vittal Mallya Road,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,800
446,Uncle Peter's Pancakes,4.1,Continental,Indiranagar,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
447,The Reservoire,4.2,North Indian,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
448,Bodypower Cafe,4.2,South Indian,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,450
449,Sweet Chariot,4.0,Desserts,Ashok Nagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
450,SMV Snacks corner,4.2,Fast Food,Basavanagudi,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,150
451,Bologna Italian Restaurant,4.6,Indian,BTM Layout,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,600
452,Rolling Oven Cafe,4.1,Pastas,Koramangala,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,250
453,Sandwichwallas,4.0,Burgers,Basavanagudi,7,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,199
454,Lucknow Express,3.6,Bengali,Indiranagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
455,Harshi Super Sandwich,3.7,Chaat,Basavanagudi,10000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,100
456,R R Fruit Juice Center,3.7,Beverages,Malleswaram,20,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
457,Fruit Bae,3.9,Desserts,Mysore Road,50,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,149
458,154 Breakfast Club,4.4,Continental,Koramangala,1000,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,1000
459,Sour House,4.7,Bakery,Koramangala,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,400
460,Sri Sai Ram Chats and Juice Centre,4.2,Snacks,Malleswaram,500,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
461,Om meals and paratha junction,3.9,Thalis,Domlur,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,500
462,Bombay Bites,3.5,Indian,Rajajinagar,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,300
463,Udupi Sri Krishna Bhavan,4.3,South Indian,Majestic,100,https://www.swiggy.com/restaurants/dilwale-restaurant-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-318476,200
